t_s,hora_utc,cpu_atual_pct,cpu_alvo_pct,replicas_desejadas,replicas_atuais,pods_prontos,nodes
0,15:14:06,2,10,2,2,2,2
8,15:14:14,2,10,2,2,2,2
17,15:14:23,2,10,2,2,2,2
25,15:14:31,2,10,2,2,2,2
34,15:14:40,2,10,2,2,2,2
43,15:14:49,2,10,2,2,2,2
52,15:14:58,2,10,2,2,2,2
61,15:15:07,2,10,2,2,2,2
69,15:15:15,2,10,2,2,2,2
78,15:15:24,2,10,2,2,2,2
86,15:15:32,2,10,2,2,2,2
95,15:15:41,96,10,4,2,2,2
103,15:15:49,96,10,4,2,4,2
112,15:15:58,385,10,5,4,5,2
121,15:16:07,346,10,5,5,5,2
130,15:16:16,346,10,5,5,5,2
138,15:16:24,195,10,5,5,5,2
147,15:16:33,195,10,5,5,5,2
155,15:16:41,166,10,5,5,5,2
164,15:16:50,166,10,5,5,5,2
173,15:16:59,169,10,5,5,5,2
182,15:17:08,167,10,5,5,5,2
191,15:17:17,167,10,5,5,5,2
200,15:17:26,161,10,5,5,5,2
208,15:17:34,161,10,5,5,5,2
217,15:17:43,161,10,5,5,5,2
225,15:17:51,166,10,5,5,5,2
234,15:18:00,166,10,5,5,5,2
243,15:18:09,166,10,5,5,5,2
251,15:18:17,166,10,5,5,5,2
260,15:18:26,153,10,5,5,5,2
269,15:18:35,153,10,5,5,5,2
277,15:18:43,158,10,5,5,5,2
286,15:18:52,160,10,5,5,5,2
294,15:19:00,160,10,5,5,5,2
302,15:19:08,166,10,5,5,5,2
311,15:19:17,166,10,5,5,5,2
320,15:19:26,158,10,5,5,5,2
328,15:19:34,158,10,5,5,5,2
337,15:19:43,164,10,5,5,5,2
346,15:19:52,165,10,5,5,5,2
354,15:20:00,165,10,5,5,5,2
363,15:20:09,166,10,5,5,5,2
372,15:20:18,166,10,5,5,5,2
381,15:20:27,153,10,5,5,5,2
390,15:20:36,153,10,5,5,5,2
398,15:20:44,162,10,5,5,5,2
407,15:20:53,161,10,5,5,5,2
415,15:21:01,161,10,5,5,5,2
424,15:21:10,108,10,5,5,5,2
432,15:21:18,108,10,5,5,5,2
441,15:21:27,6,10,5,5,5,2
451,15:21:37,2,10,5,5,5,2
459,15:21:45,2,10,5,5,5,2
468,15:21:54,2,10,5,5,5,2
477,15:22:03,2,10,5,5,5,2
485,15:22:11,2,10,5,5,5,2
495,15:22:21,2,10,5,5,5,2
503,15:22:29,2,10,5,5,5,2
512,15:22:38,2,10,5,5,5,2
521,15:22:47,2,10,5,5,5,2
530,15:22:56,2,10,5,5,5,2
539,15:23:05,2,10,5,5,5,2
548,15:23:14,2,10,5,5,5,2
556,15:23:22,2,10,5,5,5,2
565,15:23:31,2,10,5,5,5,2
574,15:23:40,2,10,5,5,5,2
583,15:23:49,2,10,5,5,5,2
591,15:23:57,2,10,5,5,5,2
600,15:24:06,2,10,5,5,5,2
609,15:24:15,2,10,5,5,5,2
617,15:24:23,2,10,5,5,5,2
626,15:24:32,2,10,5,5,5,2
634,15:24:40,2,10,5,5,5,2
643,15:24:49,2,10,5,5,5,2
652,15:24:58,2,10,5,5,5,2
661,15:25:07,2,10,5,5,5,2
670,15:25:16,2,10,5,5,5,2
678,15:25:24,2,10,5,5,5,2
687,15:25:33,2,10,5,5,5,2
695,15:25:41,2,10,5,5,5,2
704,15:25:50,2,10,5,5,5,2
712,15:25:58,2,10,5,5,5,2
721,15:26:07,2,10,3,5,5,2
729,15:26:15,2,10,3,5,5,2
738,15:26:24,2,10,1,3,5,2
747,15:26:33,2,10,1,3,5,2
755,15:26:41,2,10,1,1,3,2
764,15:26:50,2,10,1,1,3,2
772,15:26:58,2,10,1,1,1,2
