NAME                          READY   STATUS    RESTARTS   AGE
python-web-7f6f9569f8-fpck8   1/1     Running   0          91s
python-web-7f6f9569f8-vlc59   1/1     Running   0          91s
load-generator-5b47bfb48b-k5s9x   0/1     Pending   0          0s
load-generator-5b47bfb48b-k5s9x   0/1     Pending   0          0s
load-generator-5b47bfb48b-k5s9x   0/1     ContainerCreating   0          0s
load-generator-5b47bfb48b-s4f72   0/1     Pending             0          0s
load-generator-5b47bfb48b-s4f72   0/1     Pending             0          0s
load-generator-5b47bfb48b-s4f72   0/1     ContainerCreating   0          0s
load-generator-5b47bfb48b-k5s9x   1/1     Running             0          3s
load-generator-5b47bfb48b-s4f72   1/1     Running             0          1s
python-web-7f6f9569f8-9dwfj       0/1     Pending             0          0s
python-web-7f6f9569f8-9dwfj       0/1     Pending             0          0s
python-web-7f6f9569f8-7jpg5       0/1     Pending             0          0s
python-web-7f6f9569f8-9dwfj       0/1     ContainerCreating   0          0s
python-web-7f6f9569f8-7jpg5       0/1     Pending             0          0s
python-web-7f6f9569f8-7jpg5       0/1     ContainerCreating   0          0s
python-web-7f6f9569f8-9dwfj       0/1     Running             0          1s
python-web-7f6f9569f8-7jpg5       0/1     Running             0          1s
python-web-7f6f9569f8-9dwfj       1/1     Running             0          7s
python-web-7f6f9569f8-7jpg5       1/1     Running             0          7s
python-web-7f6f9569f8-w4ggf       0/1     Pending             0          0s
python-web-7f6f9569f8-w4ggf       0/1     Pending             0          0s
python-web-7f6f9569f8-w4ggf       0/1     ContainerCreating   0          0s
python-web-7f6f9569f8-w4ggf       0/1     Running             0          1s
python-web-7f6f9569f8-w4ggf       1/1     Running             0          6s
load-generator-5b47bfb48b-s4f72   1/1     Terminating         0          5m1s
load-generator-5b47bfb48b-k5s9x   1/1     Terminating         0          5m3s
load-generator-5b47bfb48b-k5s9x   1/1     Terminating         0          5m3s
load-generator-5b47bfb48b-s4f72   1/1     Terminating         0          5m1s
load-generator-5b47bfb48b-k5s9x   0/1     Error               0          5m33s
load-generator-5b47bfb48b-s4f72   0/1     Error               0          5m31s
load-generator-5b47bfb48b-k5s9x   0/1     Error               0          5m34s
load-generator-5b47bfb48b-k5s9x   0/1     Error               0          5m34s
load-generator-5b47bfb48b-s4f72   0/1     Error               0          5m32s
load-generator-5b47bfb48b-s4f72   0/1     Error               0          5m32s
python-web-7f6f9569f8-9dwfj       1/1     Terminating         0          10m
python-web-7f6f9569f8-fpck8       1/1     Terminating         0          13m
python-web-7f6f9569f8-9dwfj       1/1     Terminating         0          10m
python-web-7f6f9569f8-fpck8       1/1     Terminating         0          13m
python-web-7f6f9569f8-7jpg5       1/1     Terminating         0          10m
python-web-7f6f9569f8-vlc59       1/1     Terminating         0          13m
python-web-7f6f9569f8-7jpg5       1/1     Terminating         0          10m
python-web-7f6f9569f8-vlc59       1/1     Terminating         0          13m
python-web-7f6f9569f8-9dwfj       0/1     Error               0          11m
python-web-7f6f9569f8-fpck8       0/1     Error               0          14m
python-web-7f6f9569f8-fpck8       0/1     Error               0          14m
python-web-7f6f9569f8-fpck8       0/1     Error               0          14m
python-web-7f6f9569f8-9dwfj       0/1     Error               0          11m
python-web-7f6f9569f8-9dwfj       0/1     Error               0          11m
python-web-7f6f9569f8-7jpg5       0/1     Error               0          11m
python-web-7f6f9569f8-vlc59       0/1     Error               0          14m
python-web-7f6f9569f8-7jpg5       0/1     Error               0          11m
python-web-7f6f9569f8-7jpg5       0/1     Error               0          11m
python-web-7f6f9569f8-vlc59       0/1     Error               0          14m
python-web-7f6f9569f8-vlc59       0/1     Error               0          14m
