NAME                         READY   STATUS    RESTARTS   AGE
python-web-bb9c997c7-gcc2w   1/1     Running   0          2m15s
python-web-bb9c997c7-pf28t   1/1     Running   0          2m15s
load-generator-6f4bc99855-cldg8   0/1     Pending   0          0s
load-generator-6f4bc99855-cldg8   0/1     Pending   0          0s
load-generator-6f4bc99855-cldg8   0/1     ContainerCreating   0          0s
load-generator-6f4bc99855-rp5bv   0/1     Pending             0          0s
load-generator-6f4bc99855-rp5bv   0/1     Pending             0          0s
load-generator-6f4bc99855-rp5bv   0/1     ContainerCreating   0          0s
load-generator-6f4bc99855-cldg8   1/1     Running             0          11s
load-generator-6f4bc99855-rp5bv   1/1     Running             0          25s
python-web-bb9c997c7-sz8w4        0/1     Pending             0          0s
python-web-bb9c997c7-sz8w4        0/1     Pending             0          0s
python-web-bb9c997c7-mkx44        0/1     Pending             0          0s
python-web-bb9c997c7-mkx44        0/1     Pending             0          0s
python-web-bb9c997c7-sz8w4        0/1     ContainerCreating   0          0s
python-web-bb9c997c7-mkx44        0/1     ContainerCreating   0          0s
python-web-bb9c997c7-sz8w4        1/1     Running             0          2s
python-web-bb9c997c7-mkx44        1/1     Running             0          2s
python-web-bb9c997c7-g4ztq        0/1     Pending             0          0s
python-web-bb9c997c7-g4ztq        0/1     Pending             0          0s
python-web-bb9c997c7-g4ztq        0/1     ContainerCreating   0          0s
python-web-bb9c997c7-g4ztq        1/1     Running             0          2s
load-generator-6f4bc99855-rp5bv   1/1     Terminating         0          5m
load-generator-6f4bc99855-cldg8   1/1     Terminating         0          5m
load-generator-6f4bc99855-rp5bv   1/1     Terminating         0          5m
load-generator-6f4bc99855-cldg8   1/1     Terminating         0          5m
load-generator-6f4bc99855-rp5bv   0/1     Error               0          5m31s
load-generator-6f4bc99855-cldg8   0/1     Error               0          5m31s
load-generator-6f4bc99855-cldg8   0/1     Error               0          5m31s
load-generator-6f4bc99855-cldg8   0/1     Error               0          5m31s
load-generator-6f4bc99855-rp5bv   0/1     Error               0          5m31s
load-generator-6f4bc99855-rp5bv   0/1     Error               0          5m31s
python-web-bb9c997c7-pf28t        1/1     Terminating         0          14m
python-web-bb9c997c7-sz8w4        1/1     Terminating         0          10m
python-web-bb9c997c7-mkx44        1/1     Terminating         0          10m
python-web-bb9c997c7-gcc2w        1/1     Terminating         0          14m
python-web-bb9c997c7-pf28t        1/1     Terminating         0          14m
python-web-bb9c997c7-gcc2w        1/1     Terminating         0          14m
python-web-bb9c997c7-mkx44        1/1     Terminating         0          10m
python-web-bb9c997c7-sz8w4        1/1     Terminating         0          10m
