t_s,hora_utc,cpu_atual_pct,cpu_alvo_pct,replicas_desejadas,replicas_atuais,pods_prontos,nodes
0,21:14:36,2,10,2,2,2,1
6,21:14:42,2,10,2,2,2,1
11,21:14:47,2,10,2,2,2,1
16,21:14:52,2,10,2,2,2,1
22,21:14:58,2,10,2,2,2,1
27,21:15:03,2,10,2,2,2,1
33,21:15:09,2,10,2,2,2,1
38,21:15:14,2,10,2,2,2,1
43,21:15:19,2,10,2,2,2,1
49,21:15:25,2,10,2,2,2,1
54,21:15:30,2,10,2,2,2,1
59,21:15:35,2,10,2,2,2,1
65,21:15:41,2,10,2,2,2,1
70,21:15:46,2,10,2,2,2,1
75,21:15:51,2,10,2,2,2,1
81,21:15:57,2,10,2,2,2,1
86,21:16:02,2,10,2,2,2,1
92,21:16:08,2,10,2,2,2,1
97,21:16:13,2,10,2,2,2,1
102,21:16:18,2,10,2,2,2,1
108,21:16:24,161,10,4,2,3,1
113,21:16:29,161,10,4,2,4,1
119,21:16:35,161,10,4,2,4,1
124,21:16:40,161,10,5,4,5,1
129,21:16:45,161,10,5,4,5,1
135,21:16:51,161,10,5,4,5,1
140,21:16:56,161,10,5,5,5,1
145,21:17:01,161,10,5,5,5,1
151,21:17:07,161,10,5,5,5,1
156,21:17:12,161,10,5,5,5,1
161,21:17:17,161,10,5,5,5,1
167,21:17:23,172,10,5,5,5,1
172,21:17:28,172,10,5,5,5,1
178,21:17:34,172,10,5,5,5,1
183,21:17:39,172,10,5,5,5,1
188,21:17:44,172,10,5,5,5,1
194,21:17:50,172,10,5,5,5,1
199,21:17:55,172,10,5,5,5,1
205,21:18:01,172,10,5,5,5,1
210,21:18:06,172,10,5,5,5,1
215,21:18:11,172,10,5,5,5,1
221,21:18:17,172,10,5,5,5,1
226,21:18:22,140,10,5,5,5,1
232,21:18:28,140,10,5,5,5,1
237,21:18:33,140,10,5,5,5,1
243,21:18:39,140,10,5,5,5,1
248,21:18:44,140,10,5,5,5,1
253,21:18:49,140,10,5,5,5,1
259,21:18:55,140,10,5,5,5,1
264,21:19:00,140,10,5,5,5,1
269,21:19:05,140,10,5,5,5,1
275,21:19:11,140,10,5,5,5,1
280,21:19:16,140,10,5,5,5,1
286,21:19:22,140,10,5,5,5,1
291,21:19:27,142,10,5,5,5,1
296,21:19:32,142,10,5,5,5,1
302,21:19:38,142,10,5,5,5,1
307,21:19:43,142,10,5,5,5,1
313,21:19:49,142,10,5,5,5,1
318,21:19:54,142,10,5,5,5,1
323,21:19:59,142,10,5,5,5,1
329,21:20:05,142,10,5,5,5,1
334,21:20:10,142,10,5,5,5,1
339,21:20:15,142,10,5,5,5,1
345,21:20:21,142,10,5,5,5,1
350,21:20:26,143,10,5,5,5,1
355,21:20:31,143,10,5,5,5,1
361,21:20:37,143,10,5,5,5,1
366,21:20:42,143,10,5,5,5,1
372,21:20:48,143,10,5,5,5,1
377,21:20:53,143,10,5,5,5,1
382,21:20:58,143,10,5,5,5,1
388,21:21:04,143,10,5,5,5,1
393,21:21:09,143,10,5,5,5,1
398,21:21:14,143,10,5,5,5,1
404,21:21:20,143,10,5,5,5,1
409,21:21:25,69,10,5,5,5,1
414,21:21:30,69,10,5,5,5,1
419,21:21:35,69,10,5,5,5,1
425,21:21:41,69,10,5,5,5,1
430,21:21:46,69,10,5,5,5,1
435,21:21:51,69,10,5,5,5,1
440,21:21:56,69,10,5,5,5,1
446,21:22:02,69,10,5,5,5,1
